ID,cluster
20050302051182,1
20030302031709,1
20130402130739,2
20130808130981,3
20031211030041,4
20130302131980,5
20091211090596,2
20160402160754,3
20050807050953,5
20160504160100,2
20131111131093,3
20090201091999,3
20061110060696,6
20150705151454,3
20030605032020,6
20111211110914,3
20140302141156,6
20130605132005,3
20181009180958,3
20061009061307,5
20150909151826,4
20050403051414,3
20080807082212,1
20120503120568,4
20161110161497,2
20140808140878,4
20070706070740,3
20091009090090,1
20141110141276,2
20180807182491,2
20030504032141,2
20120908121304,4
20051211050137,1
20041009041971,2
20031211030882,5
20050605051382,5
20110907111755,5
20140202141424,4
20101110100086,2
20041210041032,2
20060504060917,2
20030403030166,2
20150212141814,2
20111109112058,1
20160605160520,2
20150202150539,2
20140403142152,4
20111211112277,3
20111110111319,1
20100706100065,3
20090808090576,3
20170605171121,1
20120302121249,2
20120707122104,2
20180806181959,2
20040201040582,1
20051110051432,2
20090504090952,5
20111211111586,2
20060605061753,4
20060302061735,1
20151009151753,6
20041110041726,4
20091211091607,2
20100907102043,2
20060403061487,2
20100807100910,3
20100706101351,5
20070403072240,6
20040202041438,4
20070403072248,2
20120212112445,5
20180101181193,1
20031211032177,3
20061110061032,1
20120403122248,6
20100301100997,6
20061009060756,4
20070908072625,2
20120302121382,4
20120112112260,2
20110505110725,4
20180808181713,5
20150403152493,5
20160403160504,1
20130908130963,2
20160504161285,3
20051008050759,2
20070604070822,6
20051110050932,2
20180302182487,4
20140112131563,2
20060302060812,4
20090504092427,4
20050706051803,4
20060706062436,2
20171211171888,3
20160805160992,1
20060908062345,3
20030303033499,2
20080112070970,1
20051110051725,2
20030504033489,2
20101110101941,1
20161009160561,2
20030909030714,3
20030604033187,1
20080605080956,5
20100907101013,5
20170807171393,2
20070404072115,5
20130112121506,6
20110112102158,4
20180807180939,6
20030112020669,1
20141008140741,6
20170403170918,1
20160404161077,1
20040909042549,1
20130806131294,3
20151110150661,5
20060908061051,2
20100707101764,1
20130605131124,1
20151209150578,1
20180403180929,1
20121110122203,1
20090707091084,2
20140403141387,5
20090908090596,3
20170402171101,2
20090403092248,4
20160504160698,2
20100706102040,6
20160212151952,4
20050504051481,4
20171211171334,3
20060706062257,5
20180604181843,3
20170201171287,4
20170403171293,4
20160112152367,2
20160403160802,4
20090112081486,6
20100605101520,4
20161009161910,2
20040907041665,2
20130403131399,2
20130202130975,4
20180807181855,1
20110202111846,1
20030606031021,2
20060112051825,1
20131009130627,2
20030807031495,1
20180605182318,6
20030807031476,2
20070302072092,4
20151009150643,1
20130706131449,1
20140112132069,4
20031211032728,5
20030908032784,3
20180112170571,2
20140302141707,4
20130606130546,2
20180807181077,2
20160806161944,3
20030201031025,2
20150201151981,3
20160403161989,2
20110101110072,1
20071211071940,4
20120908121120,2
20040807041135,2
20150302151329,1
20140807140732,2
20140907141925,6
20040403040906,4
20051110050617,2
20120909122094,1
20090403090093,4
20150606152206,4
20180807181339,2
20121109121203,3
20051211052087,3
20111110111095,1
20080706082397,1
20081210081275,1
20121110121143,2
20080606080070,2
20061109061554,3
20070404071158,2
20030505031964,2
20121109121964,6
20030504032919,3
20160101161451,6
20161211160147,2
20100908100744,2
20100302100093,2
20071009071141,2
20100404102012,4
20141009141437,4
20030302033185,3
20041110040890,5
20150201152348,2
20120605121187,4
20120403120638,4
20140201140741,4
20040808041676,5
20080707080596,4
20041009041955,3
20180806181788,1
20121008121268,4
20100302100855,4
20101211102259,6
20170504172526,6
20070112061339,1
20110907110905,2
20091009091786,1
20071010071999,2
20121009122275,6
20050908050754,2
20100112090832,2
20121110121337,5
20161009161709,1
20180605180627,4
20170807171355,5
20180604182159,1
20051010050657,2
20110201111483,4
20101111101470,1
20070504072516,2
20171210170914,3
20120504122162,2
20100404100719,4
20150605151091,3
20080112070834,2
20171211172050,3
20130605132053,5
20071010071998,6
20030706032066,2
20130605132061,5
20111009111792,4
20031211031284,2
20120201120947,2
20101110102192,3
20050706050130,2
20120807121831,2
20181110181231,2
20180605180912,1
20060302061921,3
20120603121076,4
20151009150860,4
20130807131421,1
20141010141852,6
20130112121492,3
20071009072502,3
20080606080880,4
20060504061682,2
20030303031868,2
20100503100017,5
20141211140863,2
20130908130923,3
20140606142462,3
20151111152162,3
20140112130872,4
20100807101691,5
20060403061262,3
20060907060728,2
20050403050907,4
20031211033594,2
20171110172195,3
20060907061658,4
20091211091927,1
20050808051144,2
20181009180146,2
20170302170546,3
20100303101272,2
20180807182093,2
20050504052191,3
20111010112284,4
20160808161100,2
20060706061867,2
20160403160979,1
20161009162136,3
20101110101460,5
20171110172448,3
20030605032441,5
20050706050629,3
20050808050915,4
20080112070560,2
20140302141052,5
20130403132143,6
20160101161838,4
20100605102508,2
20040908042033,1
20151009151531,4
20180908182006,5
20180706181697,3
20110403111419,2
20141109140734,2
20150807151896,2
20130403130697,3
20091009092497,2
20050302050898,3
20040604041918,4
20130604130843,1
20140908141588,5
20030908032703,6
20030807031304,4
20040201041259,2
20150504151112,2
20070111061758,2
20101211100723,3
20181009181367,3
20081212081404,6
20160403161726,3
20081111082161,3
20140907141301,6
20131108132482,2
20131008132149,3
20040606041796,3
20131211132101,2
20131111131825,4
20081009082095,2
20051109051263,5
20090111081222,2
20160504160921,2
20140201140520,6
20110302111381,4
20130112121991,6
20101211100795,3
20040201040798,2
20100202102524,4
20120112110106,1
20060908062183,2
20051211051114,1
20080112072224,1
20141211142375,2
20141009141955,2
20170504172272,2
20081111081650,2
20100807101974,2
20040201040139,2
20141211140737,4
20080909080014,5
20160908161466,3
20110403111153,2
20161009162458,4
20160808160595,2
20141009141384,3
20110706112407,2
20030706033284,2
20140909141978,2
20141009141955,2
20130201130545,6
20171110170917,6
20030908032887,4
20050111041783,3
20170706172525,2
20090403090533,4
20160706161377,2
20130101132107,6
20110908110140,4
20070201071148,5
20150201152415,2
20061211061707,4
20150808151229,2
20090806091195,2
20171110171689,3
20100303101269,2
20031211031113,2
20040112032734,2
20031211033618,2
20131110130090,2
20150503150978,4
